#=====================================================
# File created:        Sun-13-Oct-2024-at-04-28-41PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        11.730978
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -426.5207  0.2631 
   00001    0.6750    -647.1900  0.3060 
   00002    0.6000    -788.0950  0.3249 
   00003    0.5850    -808.5933  0.3195 
   00004    0.5375    -817.7826  0.3250 
   00005    0.5425    -817.5298  0.3033 
   00006    0.5250    -830.8528  0.2764 
   00007    0.5500    -872.9362  0.2889 
   00008    0.5175    -882.5909  0.2719 
   00009    0.5500    -911.9784  0.2589 
   00010    0.4725    -915.3377  0.2935 
   00011    0.4725    -929.5744  0.3126 
   00012    0.5350    -909.7366  0.2908 
   00013    0.4950    -936.1203  0.3130 
   00014    0.4900    -912.6789  0.2942 
   00015    0.5200    -911.4957  0.3440 
   00016    0.5175    -896.5037  0.3559 
   00017    0.5075    -927.2222  0.3804 
   00018    0.4750    -930.4991  0.3601 
   00019    0.5050    -912.8365  0.3510 
   00020    0.5000    -948.2755  0.3643 
   00021    0.4875    -900.9644  0.3513 
   00022    0.4925    -916.2827  0.3533 
   00023    0.5000    -942.1382  0.3678 
   00024    0.4725    -921.4559  0.3980 
   00025    0.5125    -892.0604  0.3667 
   00026    0.5250    -883.8035  0.3609 
   00027    0.5225    -846.9347  0.3503 
   00028    0.5800    -811.4336  0.3479 
   00029    0.5725    -892.2586  0.3761 
   00030    0.5000    -889.0101  0.3606 
   00031    0.5575    -889.7583  0.3612 
   00032    0.5700    -865.3207  0.3268 
   00033    0.4975    -908.8674  0.3221 
   00034    0.4975    -871.0311  0.2959 
   00035    0.5275    -878.0313  0.3106 
   00036    0.5225    -892.1040  0.3165 
   00037    0.4925    -896.2668  0.2923 
   00038    0.4750    -927.6874  0.3108 
   00039    0.4700    -906.8669  0.3287 
   00040    0.5000    -933.3189  0.3188 
   00041    0.5000    -940.9048  0.2918 
   00042    0.4925    -940.1011  0.2966 
   00043    0.4700    -938.2041  0.3064 
   00044    0.4850    -881.7975  0.2829 
   00045    0.5300    -909.3956  0.2948 
   00046    0.4700    -959.5981  0.3013 
   00047    0.4925    -966.8578  0.3203 
   00048    0.5200    -944.5309  0.3316 
   00049    0.4800    -914.4830  0.3332 
   00050    0.4875    -921.6257  0.3628 
   00051    0.5000    -949.0535  0.3570 
   00052    0.4550    -915.5705  0.3611 
   00053    0.5325    -939.1339  0.3692 
   00054    0.4900    -911.4402  0.3438 
   00055    0.4900    -915.1957  0.3356 
   00056    0.5150    -925.8188  0.3488 
   00057    0.4900    -911.5843  0.3608 
   00058    0.4450    -930.4073  0.3655 
   00059    0.4950    -925.7145  0.3666 
   00060    0.4900    -915.9877  0.3862 
   00061    0.4750    -917.2989  0.3724 
   00062    0.5525    -927.2491  0.3664 
   00063    0.5125    -953.7892  0.3715 
   00064    0.4800    -931.0818  0.3721 
   00065    0.5325    -918.9110  0.3623 
   00066    0.4850    -967.3443  0.3541 
   00067    0.5175    -955.5155  0.3587 
   00068    0.5300    -944.8412  0.3205 
   00069    0.5000    -918.2019  0.3311 
   00070    0.4975    -969.9149  0.2955 
   00071    0.5175    -958.4190  0.2968 
   00072    0.4675    -920.2833  0.2987 
   00073    0.5025    -897.3184  0.3123 
   00074    0.4875    -919.2351  0.3036 
   00075    0.4725    -977.4164  0.3160 
   00076    0.4925    -937.7227  0.2758 
   00077    0.4675    -934.6606  0.2626 
   00078    0.4550    -949.5672  0.2786 
   00079    0.5100    -952.9423  0.3019 
   00080    0.4750    -981.9081  0.2984 
   00081    0.4750    -940.7011  0.2991 
   00082    0.4675    -984.9975  0.3035 
   00083    0.5125    -986.8563  0.3027 
   00084    0.5100   -1018.5260  0.3078 
   00085    0.4625   -1031.7357  0.3279 
   00086    0.5025   -1051.6761  0.3127 
   00087    0.4600   -1035.8455  0.3351 
   00088    0.4125   -1017.3171  0.3322 
   00089    0.4575    -986.5583  0.3108 
   00090    0.5075    -955.2303  0.3201 
   00091    0.4850    -949.1893  0.3755 
   00092    0.4975    -988.0056  0.3930 
   00093    0.4875    -934.1908  0.3845 
   00094    0.4900    -951.8754  0.3812 
   00095    0.4750    -910.3613  0.3589 
   00096    0.5600    -919.9839  0.3633 
   00097    0.5100    -920.8860  0.3921 
   00098    0.4650    -945.5089  0.4110 
   00099    0.5100    -942.1770  0.4365 
   00100    0.4650    -963.7241  0.4481 
   00101    0.5025    -958.0641  0.4409 
   00102    0.4875    -973.9125  0.4326 
   00103    0.4725    -967.8815  0.4271 
   00104    0.4600    -962.1824  0.4327 
   00105    0.5000    -918.9927  0.4447 
   00106    0.4250    -943.1875  0.4419 
   00107    0.4750    -942.2523  0.4558 
   00108    0.4850    -947.3177  0.4430 
   00109    0.4750    -963.0036  0.4900 
   00110    0.4700    -951.2457  0.5068 
   00111    0.4625    -987.5144  0.4890 
   00112    0.4825   -1018.9938  0.5257 
   00113    0.4825    -990.0650  0.5165 
   00114    0.4600    -984.9749  0.5036 
   00115    0.4825    -958.3327  0.4697 
   00116    0.4725    -935.6602  0.4730 
   00117    0.5050    -899.7473  0.4831 
   00118    0.5325    -933.6359  0.4870 
   00119    0.5475    -946.4475  0.4747 
   00120    0.5225    -904.7795  0.4601 
   00121    0.4900    -935.4069  0.4598 
   00122    0.4900    -934.2742  0.4428 
   00123    0.5225    -928.5468  0.4266 
   00124    0.4825    -938.2245  0.4551 
   00125    0.4500    -948.1132  0.4689 
   00126    0.5125    -909.8284  0.4290 
   00127    0.5200    -952.8674  0.4095 
   00128    0.5275    -959.3541  0.4281 
   00129    0.5400    -941.6456  0.4068 
   00130    0.5000    -950.0661  0.4428 
   00131    0.4700    -965.5624  0.4224 
   00132    0.4500    -965.6133  0.4075 
   00133    0.5200    -947.5579  0.4334 
   00134    0.4650    -956.9893  0.4079 
   00135    0.5150    -918.1878  0.4239 
   00136    0.5125    -954.4296  0.4646 
   00137    0.4850    -958.1327  0.4691 
   00138    0.4525    -987.2638  0.4615 
   00139    0.4725    -991.0099  0.4689 
   00140    0.4250    -975.1068  0.4762 
   00141    0.5100    -971.5437  0.4898 
   00142    0.4250   -1001.3519  0.5212 
   00143    0.5000   -1008.2196  0.5074 
   00144    0.4175   -1034.2752  0.5096 
   00145    0.5175    -997.9450  0.5120 
   00146    0.4625    -970.5948  0.5055 
   00147    0.4325    -977.9818  0.4994 
   00148    0.4575    -994.3882  0.4934 
   00149    0.5125    -993.0175  0.4485 
   00150    0.4375    -948.5451  0.4430 
   00151    0.4850    -932.5564  0.4428 
   00152    0.5200    -920.0169  0.4571 
   00153    0.4900    -961.8943  0.4419 
   00154    0.5225    -952.5371  0.4276 
   00155    0.4625    -960.6860  0.4252 
   00156    0.4950    -948.9538  0.4172 
   00157    0.5125    -932.5039  0.4388 
   00158    0.4650    -949.7838  0.4298 
   00159    0.5075    -964.5442  0.4555 
   00160    0.5225    -970.5398  0.4635 
   00161    0.4750    -975.4775  0.4764 
   00162    0.4350    -964.8284  0.4671 
   00163    0.4900   -1007.5312  0.4734 
   00164    0.4950    -982.9393  0.4592 
   00165    0.4700    -986.4142  0.4828 
   00166    0.4375   -1002.8068  0.5192 
   00167    0.4825    -983.2669  0.4900 
   00168    0.4475   -1001.8597  0.4920 
   00169    0.4650    -937.7034  0.4882 
   00170    0.4350    -948.7542  0.5010 
   00171    0.4850    -935.8546  0.5348 
   00172    0.5025    -947.7031  0.5136 
   00173    0.4950    -922.5646  0.5177 
   00174    0.4925    -920.0905  0.4842 
   00175    0.5150    -969.7861  0.4729 
   00176    0.5150    -978.2068  0.4899 
   00177    0.4750    -970.9537  0.4835 
   00178    0.5050    -972.9071  0.4725 
   00179    0.4850    -966.4253  0.4874 
   00180    0.4625    -973.3101  0.5130 
   00181    0.4650    -995.6982  0.5221 
   00182    0.4825    -940.2501  0.5083 
   00183    0.5225    -961.9502  0.4844 
   00184    0.5375    -968.7382  0.4943 
   00185    0.4900    -983.1995  0.4832 
   00186    0.4425    -961.3822  0.4762 
   00187    0.5150    -974.3705  0.4553 
   00188    0.4625    -991.7003  0.4301 
   00189    0.4875    -988.4805  0.4377 
   00190    0.4725    -989.6222  0.4550 
   00191    0.4975    -955.4634  0.4393 
   00192    0.4725    -959.6744  0.4316 
   00193    0.4650    -937.4793  0.4365 
   00194    0.4700    -943.6021  0.4567 
   00195    0.4800    -954.8002  0.4471 
   00196    0.4850    -922.0040  0.4752 
   00197    0.5150    -926.0970  0.5038 
   00198    0.5150    -927.1957  0.4965 
   00199    0.4550    -960.0620  0.4969 
   00200    0.4725    -945.0317  0.4733 
   00201    0.4825    -904.3061  0.4731 
   00202    0.4375    -931.8097  0.4966 
   00203    0.4825    -977.1894  0.4869 
   00204    0.4750    -931.5926  0.4659 
   00205    0.4750    -923.1363  0.4451 
   00206    0.5350    -961.2785  0.4522 
   00207    0.5025    -973.7641  0.4447 
   00208    0.4975    -977.7012  0.4664 
   00209    0.5000    -964.2336  0.4952 
   00210    0.4675    -960.4522  0.4904 
   00211    0.4650    -960.3126  0.4804 
   00212    0.4550    -954.1245  0.4517 
   00213    0.4175    -978.0968  0.4558 
   00214    0.4450    -978.5855  0.4606 
   00215    0.5250    -949.8411  0.4774 
   00216    0.4850    -932.5487  0.4469 
   00217    0.5100    -941.6801  0.4324 
   00218    0.4825    -897.6232  0.4148 
   00219    0.4925    -932.9889  0.4033 
   00220    0.4900    -909.7755  0.3639 
   00221    0.5075    -886.2216  0.3485 
   00222    0.5425    -857.0042  0.3215 
   00223    0.5175    -849.4838  0.3341 
   00224    0.5525    -860.6123  0.3512 
   00225    0.5300    -879.9844  0.3499 
   00226    0.5450    -890.8084  0.3102 
   00227    0.5350    -890.7095  0.3275 
   00228    0.5225    -889.7816  0.3049 
   00229    0.5100    -898.0368  0.3007 
   00230    0.4950    -904.5467  0.3014 
   00231    0.5000    -909.7056  0.2715 
   00232    0.4500    -916.9215  0.2881 
   00233    0.5225    -903.0290  0.2890 
   00234    0.5100    -937.0265  0.3112 
   00235    0.4875    -936.0551  0.2789 
   00236    0.4825    -879.4983  0.3011 
   00237    0.5050    -882.4529  0.2784 
   00238    0.5275    -849.8363  0.2728 
   00239    0.5850    -860.7166  0.3202 
   00240    0.5100    -912.7057  0.3537 
   00241    0.5350    -927.9322  0.3774 
   00242    0.5200    -921.4037  0.3853 
   00243    0.4900    -908.6593  0.3781 
   00244    0.5350    -887.8778  0.3706 
   00245    0.5200    -866.2206  0.3627 
   00246    0.4950    -869.6665  0.3547 
   00247    0.5325    -869.3208  0.3681 
   00248    0.5400    -918.7990  0.3490 
   00249    0.4750    -901.8543  0.3253 
   00250    0.4475    -871.2502  0.2994 
   00251    0.5250    -892.6919  0.3000 
   00252    0.5050    -922.8959  0.3198 
   00253    0.4950    -927.1900  0.2855 
   00254    0.4925    -953.6717  0.3101 
   00255    0.4700    -922.8811  0.3028 
   00256    0.5175    -936.1218  0.3258 
   00257    0.5200    -978.4806  0.3140 
   00258    0.5025    -942.4740  0.3493 
   00259    0.5150    -899.1348  0.3363 
   00260    0.5075    -907.6648  0.3195 
