#=====================================================
# File created:        Mon-28-Oct-2024-at-01-38-59PM
# Size of lattice:     60x60
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        6.690681
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3648.6273  0.2699 
   00001    0.6969   -5511.3048  0.2592 
   00002    0.6206   -6338.9581  0.2646 
   00003    0.5814   -6871.8972  0.2733 
   00004    0.5664   -7151.6073  0.2743 
   00005    0.5450   -7418.0956  0.2702 
   00006    0.5347   -7660.5747  0.2773 
   00007    0.5333   -7889.1334  0.2765 
   00008    0.5078   -8059.9281  0.2794 
   00009    0.5372   -8081.1389  0.2905 
   00010    0.5142   -8269.4242  0.2920 
   00011    0.4831   -8336.5654  0.2927 
   00012    0.5081   -8369.5589  0.3054 
   00013    0.5069   -8396.6286  0.2986 
   00014    0.4922   -8441.0852  0.2994 
   00015    0.5186   -8483.1659  0.2954 
   00016    0.4825   -8393.5417  0.3006 
   00017    0.5153   -8463.8977  0.3029 
   00018    0.4992   -8564.2071  0.3029 
   00019    0.4867   -8568.6289  0.3111 
   00020    0.4908   -8534.3098  0.3118 
   00021    0.4908   -8596.5253  0.3188 
   00022    0.4956   -8527.2346  0.3142 
   00023    0.4914   -8465.7784  0.3151 
   00024    0.4819   -8456.8013  0.3156 
   00025    0.4944   -8323.8465  0.3116 
   00026    0.4967   -8338.9028  0.3050 
   00027    0.5047   -8263.6474  0.3074 
   00028    0.4936   -8342.9581  0.3061 
   00029    0.5069   -8295.0996  0.3060 
   00030    0.5172   -8223.9014  0.3023 
   00031    0.5017   -8376.6812  0.3031 
   00032    0.4906   -8408.7108  0.3033 
   00033    0.4822   -8409.0720  0.2962 
   00034    0.5014   -8299.0807  0.3002 
   00035    0.5156   -8406.8388  0.2999 
   00036    0.5092   -8504.6676  0.2992 
   00037    0.4900   -8452.5225  0.2939 
   00038    0.4975   -8428.8760  0.2885 
   00039    0.5017   -8414.0298  0.2863 
   00040    0.4947   -8536.3942  0.2762 
   00041    0.4908   -8444.4729  0.2614 
   00042    0.5092   -8596.1466  0.2594 
   00043    0.4953   -8531.1421  0.2613 
   00044    0.5014   -8519.3298  0.2594 
   00045    0.5006   -8479.7139  0.2624 
   00046    0.4878   -8487.0645  0.2644 
   00047    0.4781   -8494.4627  0.2736 
   00048    0.4944   -8398.6194  0.2757 
   00049    0.4981   -8264.6873  0.2825 
   00050    0.5067   -8237.0133  0.2727 
   00051    0.5044   -8254.3719  0.2754 
   00052    0.5114   -8224.3960  0.2798 
   00053    0.5017   -8227.4981  0.2683 
   00054    0.5050   -8304.9510  0.2655 
   00055    0.5106   -8387.0406  0.2646 
   00056    0.5003   -8380.6466  0.2701 
   00057    0.4917   -8466.7672  0.2750 
   00058    0.4858   -8481.1201  0.2776 
   00059    0.4797   -8516.5922  0.2835 
   00060    0.5017   -8561.3402  0.2919 
   00061    0.4872   -8550.4517  0.2962 
   00062    0.4803   -8440.4412  0.2950 
   00063    0.5061   -8405.6371  0.3053 
   00064    0.5014   -8538.6701  0.2918 
   00065    0.4797   -8618.1331  0.3001 
   00066    0.4867   -8643.9854  0.3097 
   00067    0.4847   -8526.9674  0.3129 
   00068    0.4911   -8502.9537  0.3022 
   00069    0.5119   -8471.0453  0.2963 
   00070    0.4992   -8591.3079  0.2957 
   00071    0.4925   -8533.3298  0.2991 
   00072    0.4944   -8453.1211  0.2957 
   00073    0.5086   -8569.0994  0.3022 
   00074    0.4939   -8649.4996  0.3033 
   00075    0.4814   -8438.8731  0.3019 
   00076    0.4992   -8569.2841  0.3039 
   00077    0.4939   -8665.8624  0.2998 
   00078    0.4756   -8582.6667  0.3007 
   00079    0.4792   -8514.7761  0.2818 
   00080    0.4839   -8586.4755  0.2731 
   00081    0.4831   -8659.2261  0.2809 
   00082    0.4853   -8665.1998  0.2744 
   00083    0.4844   -8619.6553  0.2715 
   00084    0.4825   -8573.3352  0.2799 
   00085    0.5008   -8522.2978  0.2791 
   00086    0.4983   -8418.3751  0.2715 
   00087    0.4958   -8513.3278  0.2674 
   00088    0.4953   -8540.6640  0.2646 
   00089    0.5044   -8497.4840  0.2645 
   00090    0.5061   -8581.5547  0.2828 
   00091    0.4756   -8605.6226  0.2845 
   00092    0.4983   -8528.3515  0.2968 
   00093    0.4883   -8429.5287  0.3005 
   00094    0.4894   -8433.4812  0.2950 
   00095    0.4847   -8500.6666  0.3015 
   00096    0.4964   -8438.9877  0.2987 
   00097    0.5064   -8526.6139  0.2998 
   00098    0.4878   -8500.8482  0.2992 
   00099    0.5014   -8438.1938  0.3036 
   00100    0.5056   -8484.9614  0.3001 
