#=====================================================
# File created:        Tue-29-Oct-2024-at-01-06-07AM
# Size of lattice:     60x60
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        2.921970
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3702.5559  0.2692 
   00001    0.6933   -5435.9868  0.2802 
   00002    0.6242   -6375.5066  0.2877 
   00003    0.5850   -6804.1313  0.2812 
   00004    0.5558   -7216.3228  0.2806 
   00005    0.5583   -7380.6882  0.2842 
   00006    0.5442   -7603.8756  0.2715 
   00007    0.5325   -7658.4837  0.2688 
   00008    0.5267   -7790.5590  0.2651 
   00009    0.5200   -8098.1752  0.2662 
   00010    0.5125   -8092.3395  0.2768 
   00011    0.5156   -8108.1318  0.2734 
   00012    0.5172   -8115.6005  0.2760 
   00013    0.5125   -8109.4434  0.2611 
   00014    0.5128   -8180.6953  0.2570 
   00015    0.5169   -8198.6549  0.2710 
   00016    0.4978   -8262.6495  0.2637 
   00017    0.5111   -8263.2090  0.2754 
   00018    0.5017   -8218.7790  0.2788 
   00019    0.4883   -8291.1970  0.2753 
   00020    0.5094   -8317.9056  0.2685 
   00021    0.5031   -8266.5302  0.2787 
   00022    0.4953   -8433.0515  0.2922 
   00023    0.4908   -8380.3330  0.2947 
   00024    0.4881   -8449.5517  0.2959 
   00025    0.4831   -8377.0074  0.2892 
   00026    0.4858   -8406.4517  0.2855 
   00027    0.4922   -8313.3422  0.2865 
   00028    0.5031   -8382.0585  0.2939 
   00029    0.5017   -8371.6301  0.2862 
   00030    0.4867   -8404.4839  0.2845 
   00031    0.4964   -8485.6809  0.2777 
   00032    0.4956   -8366.9755  0.2811 
   00033    0.5000   -8451.6104  0.2734 
   00034    0.4972   -8477.0457  0.2736 
   00035    0.5025   -8504.1372  0.2680 
   00036    0.4944   -8546.0272  0.2717 
   00037    0.4939   -8415.7907  0.2813 
   00038    0.4953   -8441.5783  0.2765 
   00039    0.4928   -8491.1675  0.2792 
   00040    0.4922   -8435.9086  0.2849 
   00041    0.4856   -8436.8511  0.2767 
   00042    0.4861   -8409.1208  0.2806 
   00043    0.5036   -8348.1493  0.2763 
   00044    0.4872   -8451.0538  0.2716 
   00045    0.4778   -8545.1235  0.2823 
   00046    0.4886   -8481.2713  0.2745 
   00047    0.4961   -8477.6493  0.2910 
   00048    0.4789   -8409.7801  0.2886 
   00049    0.4906   -8606.0920  0.2889 
   00050    0.4900   -8533.4035  0.2919 
   00051    0.5031   -8555.6491  0.2925 
   00052    0.5033   -8535.5175  0.2928 
   00053    0.5069   -8424.5871  0.2849 
   00054    0.4800   -8461.1075  0.2927 
   00055    0.4936   -8436.1579  0.2908 
   00056    0.4764   -8488.3412  0.2827 
   00057    0.4764   -8430.9700  0.2757 
   00058    0.4986   -8453.2939  0.2705 
   00059    0.4844   -8605.2812  0.2742 
   00060    0.4883   -8563.2421  0.2699 
   00061    0.4906   -8500.8969  0.2714 
   00062    0.4883   -8504.0302  0.2756 
   00063    0.4911   -8491.1789  0.2761 
   00064    0.4936   -8505.0821  0.2976 
   00065    0.4794   -8542.1925  0.2966 
   00066    0.4900   -8508.4382  0.2962 
   00067    0.4856   -8583.6173  0.2983 
   00068    0.4903   -8483.4314  0.3016 
   00069    0.5075   -8624.8865  0.3030 
   00070    0.4853   -8496.1084  0.2981 
   00071    0.4983   -8485.5481  0.2855 
   00072    0.4886   -8444.0487  0.2780 
   00073    0.4939   -8468.3249  0.2795 
   00074    0.5000   -8413.4583  0.2812 
   00075    0.5025   -8318.7157  0.2828 
   00076    0.4933   -8301.3323  0.2762 
   00077    0.5067   -8389.5807  0.2709 
   00078    0.4797   -8438.4380  0.2744 
   00079    0.4772   -8448.8306  0.2735 
   00080    0.4892   -8533.8258  0.2684 
   00081    0.4875   -8595.4980  0.2725 
   00082    0.4878   -8570.3942  0.2725 
   00083    0.4922   -8518.6006  0.2855 
   00084    0.4903   -8594.1587  0.2787 
   00085    0.4736   -8597.0632  0.2777 
   00086    0.4911   -8545.0276  0.2849 
   00087    0.5019   -8539.1680  0.2967 
   00088    0.5067   -8494.9918  0.2870 
   00089    0.4917   -8374.1409  0.2855 
   00090    0.5117   -8361.5348  0.2919 
   00091    0.4983   -8448.7948  0.2847 
   00092    0.4925   -8560.1370  0.2838 
   00093    0.4914   -8413.5024  0.2842 
   00094    0.5061   -8350.3377  0.2822 
   00095    0.4942   -8312.4268  0.2825 
   00096    0.4972   -8481.3490  0.2814 
   00097    0.4956   -8525.9758  0.2885 
   00098    0.4797   -8496.0715  0.2856 
   00099    0.4969   -8392.7119  0.2863 
   00100    0.5000   -8414.2123  0.2975 
