#=====================================================
# File created:        Mon-28-Oct-2024-at-01-43-10PM
# Size of lattice:     40x40
# Number of MC steps:  100
# Reduced temperature: 0.660
# Run time (s):        0.888106
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1624.4688  0.2868 
   00001    0.6844   -2420.7272  0.2936 
   00002    0.6112   -2861.3894  0.3066 
   00003    0.5775   -3171.1592  0.2988 
   00004    0.5713   -3419.6023  0.3139 
   00005    0.5225   -3541.6585  0.3159 
   00006    0.5294   -3730.9582  0.3304 
   00007    0.5150   -3891.4297  0.3300 
   00008    0.5100   -3987.5864  0.3576 
   00009    0.4900   -4081.4501  0.3602 
   00010    0.4831   -4184.4033  0.3754 
   00011    0.4669   -4247.9794  0.3773 
   00012    0.4419   -4336.7673  0.3729 
   00013    0.4437   -4381.6893  0.3894 
   00014    0.4487   -4422.0903  0.3902 
   00015    0.4569   -4429.9339  0.3895 
   00016    0.4356   -4530.0441  0.4021 
   00017    0.4325   -4528.9331  0.4109 
   00018    0.4412   -4585.6249  0.4188 
   00019    0.4394   -4662.6314  0.4242 
   00020    0.4431   -4619.9156  0.4216 
   00021    0.3944   -4656.9447  0.4221 
   00022    0.4213   -4724.0574  0.4249 
   00023    0.4350   -4679.8388  0.4210 
   00024    0.4288   -4694.1711  0.4232 
   00025    0.4338   -4668.1708  0.4155 
   00026    0.4288   -4730.3899  0.4191 
   00027    0.4319   -4692.2885  0.4177 
   00028    0.4075   -4754.9901  0.4154 
   00029    0.4081   -4703.2257  0.4116 
   00030    0.4425   -4683.9326  0.4105 
   00031    0.4331   -4690.8039  0.4072 
   00032    0.4419   -4694.7724  0.4260 
   00033    0.4313   -4708.0663  0.4200 
   00034    0.4150   -4733.8493  0.4320 
   00035    0.4300   -4779.1080  0.4476 
   00036    0.4350   -4773.4305  0.4485 
   00037    0.4044   -4777.8275  0.4541 
   00038    0.4206   -4759.8906  0.4644 
   00039    0.4375   -4783.8652  0.4751 
   00040    0.4169   -4794.6871  0.4791 
   00041    0.4325   -4811.6476  0.4818 
   00042    0.4231   -4839.4696  0.4811 
   00043    0.4263   -4814.3970  0.4875 
   00044    0.4088   -4787.1828  0.4924 
   00045    0.4037   -4796.7803  0.5057 
   00046    0.4150   -4805.1306  0.5088 
   00047    0.4131   -4865.4736  0.5182 
   00048    0.4044   -4837.2585  0.5177 
   00049    0.4206   -4859.0624  0.5160 
   00050    0.4031   -4880.8575  0.5186 
   00051    0.4263   -4875.9749  0.5168 
   00052    0.4375   -4880.1890  0.5128 
   00053    0.4081   -4864.1390  0.5122 
   00054    0.4200   -4874.2896  0.5086 
   00055    0.4400   -4876.9150  0.5079 
   00056    0.4344   -4888.0143  0.5053 
   00057    0.4144   -4857.6313  0.5127 
   00058    0.4325   -4875.2424  0.5116 
   00059    0.4169   -4886.1989  0.5145 
   00060    0.4281   -4886.6079  0.5129 
   00061    0.4169   -4908.0473  0.5038 
   00062    0.4131   -4911.4122  0.5097 
   00063    0.4050   -4866.6640  0.5083 
   00064    0.3919   -4883.2563  0.5231 
   00065    0.3756   -4914.7544  0.5327 
   00066    0.4006   -4901.9148  0.5237 
   00067    0.4050   -4881.5612  0.5254 
   00068    0.4113   -4886.2430  0.5205 
   00069    0.4106   -4903.8901  0.5145 
   00070    0.4150   -4898.0254  0.5137 
   00071    0.4350   -4923.1822  0.5217 
   00072    0.3981   -4930.6242  0.5133 
   00073    0.4088   -4950.4597  0.5131 
   00074    0.4138   -4924.3571  0.5237 
   00075    0.4163   -4870.6020  0.5187 
   00076    0.4106   -4872.9810  0.5284 
   00077    0.4088   -4851.0953  0.5316 
   00078    0.4156   -4852.1731  0.5394 
   00079    0.4200   -4877.2358  0.5355 
   00080    0.4138   -4922.8203  0.5376 
   00081    0.4163   -4932.1337  0.5458 
   00082    0.4138   -4921.9198  0.5406 
   00083    0.4200   -4960.3065  0.5368 
   00084    0.4169   -4948.0371  0.5347 
   00085    0.4306   -4933.1654  0.5326 
   00086    0.4319   -4867.6545  0.5370 
   00087    0.4244   -4938.4270  0.5531 
   00088    0.4125   -4956.1774  0.5466 
   00089    0.4062   -4938.3746  0.5381 
   00090    0.4019   -4950.2752  0.5420 
   00091    0.4138   -4966.6817  0.5404 
   00092    0.4000   -4950.2403  0.5332 
   00093    0.3962   -4946.2876  0.5280 
   00094    0.4138   -4925.9615  0.5336 
   00095    0.4494   -4947.4735  0.5409 
   00096    0.4200   -4978.4606  0.5430 
   00097    0.4150   -4974.4410  0.5428 
   00098    0.4044   -5011.6543  0.5499 
   00099    0.4131   -4983.7709  0.5592 
   00100    0.4056   -5003.2956  0.5507 
