#=====================================================
# File created:        Mon-28-Oct-2024-at-01-41-41PM
# Size of lattice:     40x40
# Number of MC steps:  100
# Reduced temperature: 0.660
# Run time (s):        2.380056
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1518.3077  0.2605 
   00001    0.6856   -2378.1971  0.2798 
   00002    0.6100   -2847.7954  0.2843 
   00003    0.5894   -3208.1803  0.2825 
   00004    0.5494   -3495.5357  0.2921 
   00005    0.5325   -3656.6821  0.2830 
   00006    0.4888   -3771.8751  0.2588 
   00007    0.5075   -3859.1020  0.2572 
   00008    0.4900   -3990.0607  0.2614 
   00009    0.4731   -4080.7378  0.2657 
   00010    0.4756   -4092.1423  0.2622 
   00011    0.4838   -4121.0631  0.2634 
   00012    0.4619   -4238.0478  0.2667 
   00013    0.4763   -4276.0403  0.2725 
   00014    0.4537   -4316.4648  0.2783 
   00015    0.4769   -4287.0309  0.2804 
   00016    0.4431   -4332.2988  0.2864 
   00017    0.4506   -4414.9950  0.2842 
   00018    0.4531   -4494.7593  0.2715 
   00019    0.4469   -4516.9809  0.2726 
   00020    0.4356   -4475.2569  0.2767 
   00021    0.4400   -4523.3581  0.2809 
   00022    0.4475   -4548.6804  0.2780 
   00023    0.4425   -4574.2077  0.2866 
   00024    0.4356   -4658.6926  0.2951 
   00025    0.4356   -4654.0803  0.2976 
   00026    0.4425   -4622.9473  0.3086 
   00027    0.4300   -4667.2876  0.3162 
   00028    0.4144   -4676.4739  0.3214 
   00029    0.4163   -4720.4988  0.3193 
   00030    0.4400   -4718.4338  0.3148 
   00031    0.4250   -4789.9539  0.3148 
   00032    0.3987   -4751.7751  0.3203 
   00033    0.4275   -4736.9230  0.3348 
   00034    0.4219   -4744.7360  0.3328 
   00035    0.4344   -4762.0227  0.3213 
   00036    0.4381   -4748.9909  0.3182 
   00037    0.4338   -4771.5977  0.3229 
   00038    0.4088   -4757.0232  0.3175 
   00039    0.4306   -4732.6636  0.3209 
   00040    0.4050   -4777.7672  0.3196 
   00041    0.4231   -4787.7811  0.3266 
   00042    0.4238   -4766.0480  0.3313 
   00043    0.4150   -4750.5405  0.3351 
   00044    0.4125   -4790.3875  0.3352 
   00045    0.4194   -4805.1487  0.3346 
   00046    0.4231   -4788.4380  0.3342 
   00047    0.4425   -4833.5306  0.3424 
   00048    0.4250   -4843.3095  0.3480 
   00049    0.4100   -4820.8486  0.3532 
   00050    0.4175   -4812.3879  0.3578 
   00051    0.4075   -4780.6970  0.3654 
   00052    0.4213   -4796.5734  0.3635 
   00053    0.4144   -4855.2897  0.3696 
   00054    0.4213   -4832.2385  0.3677 
   00055    0.4163   -4863.8007  0.3739 
   00056    0.4256   -4825.1286  0.3723 
   00057    0.4056   -4870.6876  0.3709 
   00058    0.4250   -4896.8528  0.3787 
   00059    0.4219   -4893.6148  0.3833 
   00060    0.4387   -4898.8691  0.4018 
   00061    0.4269   -4830.4011  0.4064 
   00062    0.4188   -4834.2845  0.4104 
   00063    0.4056   -4841.8791  0.4140 
   00064    0.4306   -4852.2579  0.4072 
   00065    0.4119   -4870.1247  0.4181 
   00066    0.4188   -4920.6178  0.4212 
   00067    0.4456   -4920.3426  0.4250 
   00068    0.4169   -4895.0353  0.4337 
   00069    0.4163   -4868.9698  0.4393 
   00070    0.4188   -4856.4880  0.4382 
   00071    0.4256   -4880.0650  0.4314 
   00072    0.4138   -4886.1151  0.4385 
   00073    0.4037   -4904.2002  0.4344 
   00074    0.4113   -4866.1312  0.4239 
   00075    0.3956   -4899.9411  0.4385 
   00076    0.4150   -4901.9372  0.4417 
   00077    0.4163   -4865.1398  0.4389 
   00078    0.4213   -4833.2472  0.4453 
   00079    0.4363   -4846.8314  0.4442 
   00080    0.4175   -4842.0062  0.4531 
   00081    0.4300   -4818.4807  0.4601 
   00082    0.4125   -4843.0843  0.4637 
   00083    0.4375   -4828.2850  0.4682 
   00084    0.4056   -4872.4849  0.4769 
   00085    0.4319   -4886.2798  0.4859 
   00086    0.4200   -4867.5679  0.4934 
   00087    0.4106   -4862.1712  0.4881 
   00088    0.4188   -4890.7937  0.5001 
   00089    0.3994   -4904.5247  0.4987 
   00090    0.4150   -4891.5988  0.5061 
   00091    0.4225   -4918.2460  0.5119 
   00092    0.4050   -4885.5840  0.5098 
   00093    0.4012   -4881.9015  0.5164 
   00094    0.4106   -4874.6738  0.5136 
   00095    0.4213   -4862.1023  0.5093 
   00096    0.4300   -4870.1081  0.5188 
   00097    0.4106   -4895.2108  0.5198 
   00098    0.4044   -4882.7427  0.5144 
   00099    0.3981   -4864.0512  0.5108 
   00100    0.4113   -4888.3717  0.5104 
