#=====================================================
# File created:        Mon-28-Oct-2024-at-01-32-11PM
# Size of lattice:     40x40
# Number of MC steps:  100
# Reduced temperature: 0.660
# Run time (s):        5.000263
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1543.9129  0.2592 
   00001    0.6787   -2397.3820  0.2543 
   00002    0.6219   -2901.5218  0.2631 
   00003    0.5800   -3260.5877  0.2619 
   00004    0.5281   -3552.8482  0.2731 
   00005    0.5188   -3635.7702  0.2852 
   00006    0.5081   -3833.8729  0.2917 
   00007    0.5056   -4032.0354  0.2904 
   00008    0.4775   -4074.1336  0.2941 
   00009    0.4725   -4142.5132  0.2953 
   00010    0.4813   -4241.5762  0.3026 
   00011    0.4569   -4259.3552  0.2937 
   00012    0.4719   -4351.6732  0.2911 
   00013    0.4525   -4416.6140  0.2944 
   00014    0.4525   -4448.0740  0.2856 
   00015    0.4525   -4454.0851  0.2730 
   00016    0.4675   -4439.7786  0.2686 
   00017    0.4425   -4472.2027  0.2760 
   00018    0.4500   -4493.9991  0.2746 
   00019    0.4363   -4490.9304  0.2723 
   00020    0.4444   -4517.1410  0.2683 
   00021    0.4412   -4498.7794  0.2755 
   00022    0.4275   -4534.0915  0.2826 
   00023    0.4419   -4526.1647  0.2839 
   00024    0.4406   -4537.4550  0.3041 
   00025    0.4338   -4590.8278  0.3013 
   00026    0.4356   -4604.8852  0.2974 
   00027    0.4456   -4641.2327  0.2997 
   00028    0.4450   -4645.4639  0.3138 
   00029    0.4156   -4665.3368  0.3175 
   00030    0.4325   -4697.7114  0.3177 
   00031    0.4331   -4704.8039  0.3167 
   00032    0.4306   -4701.8812  0.3200 
   00033    0.4419   -4713.5279  0.3210 
   00034    0.4244   -4672.0733  0.3152 
   00035    0.4238   -4608.9105  0.3159 
   00036    0.4156   -4654.1413  0.3263 
   00037    0.4213   -4653.8775  0.3346 
   00038    0.4069   -4668.0326  0.3338 
   00039    0.4344   -4661.6278  0.3364 
   00040    0.4350   -4689.1826  0.3403 
   00041    0.4306   -4662.0897  0.3404 
   00042    0.4238   -4722.1003  0.3464 
   00043    0.4475   -4731.0783  0.3483 
   00044    0.4006   -4746.6682  0.3496 
   00045    0.4238   -4757.4750  0.3532 
   00046    0.4156   -4780.5186  0.3514 
   00047    0.4219   -4745.0676  0.3494 
   00048    0.4219   -4787.4957  0.3530 
   00049    0.4387   -4833.1939  0.3594 
   00050    0.4356   -4822.5954  0.3694 
   00051    0.4406   -4788.1116  0.3665 
   00052    0.4037   -4829.0441  0.3751 
   00053    0.4256   -4787.0476  0.3755 
   00054    0.4369   -4785.8051  0.3608 
   00055    0.4456   -4779.0701  0.3719 
   00056    0.4062   -4830.5127  0.3791 
   00057    0.3969   -4913.0421  0.3761 
   00058    0.3894   -4913.9410  0.3773 
   00059    0.4075   -4874.7095  0.3868 
   00060    0.4163   -4902.9889  0.3812 
   00061    0.4175   -4940.2383  0.3799 
   00062    0.4138   -4970.4221  0.3817 
   00063    0.4163   -4908.7423  0.3750 
   00064    0.4213   -4898.1041  0.3676 
   00065    0.4150   -4908.5782  0.3622 
   00066    0.4094   -4898.0839  0.3767 
   00067    0.4456   -4915.1905  0.3807 
   00068    0.4169   -4891.4920  0.3927 
   00069    0.4350   -4900.1273  0.4089 
   00070    0.4256   -4849.4204  0.3967 
   00071    0.4225   -4835.8792  0.4010 
   00072    0.4263   -4920.2135  0.4015 
   00073    0.4069   -4932.8458  0.4036 
   00074    0.3962   -4920.5432  0.4052 
   00075    0.4081   -4955.2535  0.4047 
   00076    0.4194   -4969.7731  0.4007 
   00077    0.4000   -4992.6937  0.3885 
   00078    0.3962   -4986.4665  0.3985 
   00079    0.4069   -5004.1082  0.4007 
   00080    0.4256   -4964.7397  0.4070 
   00081    0.4131   -4975.2874  0.4026 
   00082    0.3812   -4965.2944  0.4063 
   00083    0.4294   -4949.5700  0.4052 
   00084    0.4244   -4965.1334  0.4076 
   00085    0.4269   -4949.5198  0.4112 
   00086    0.3950   -4954.8061  0.4124 
   00087    0.3981   -4945.3843  0.4097 
   00088    0.3975   -4925.3360  0.4122 
   00089    0.4100   -4925.9891  0.4180 
   00090    0.4050   -4918.6504  0.4109 
   00091    0.3981   -4876.1138  0.4142 
   00092    0.4144   -4866.9290  0.4113 
   00093    0.4387   -4855.0073  0.4195 
   00094    0.4325   -4844.9071  0.4154 
   00095    0.4319   -4866.0301  0.4214 
   00096    0.4200   -4918.4281  0.4231 
   00097    0.3994   -4904.8879  0.4294 
   00098    0.4006   -4919.1763  0.4402 
   00099    0.4094   -4919.5761  0.4582 
   00100    0.4106   -4980.5390  0.4684 
