#=====================================================
# File created:        Tue-29-Oct-2024-at-08-27-02AM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        0.397817
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -361.3301  0.2813 
   00001    0.7025    -540.0310  0.3239 
   00002    0.6850    -680.7051  0.3737 
   00003    0.6425    -710.1303  0.3176 
   00004    0.6275    -718.7060  0.3040 
   00005    0.5350    -738.7422  0.2874 
   00006    0.5625    -813.4114  0.2794 
   00007    0.5450    -851.6955  0.2748 
   00008    0.5025    -886.9918  0.2930 
   00009    0.5550    -887.2212  0.3109 
   00010    0.5550    -853.7834  0.2969 
   00011    0.5575    -839.5407  0.3233 
   00012    0.5450    -838.1844  0.3103 
   00013    0.5000    -861.7424  0.2910 
   00014    0.5250    -902.1330  0.3348 
   00015    0.4925    -932.3115  0.3692 
   00016    0.4650    -920.4868  0.3659 
   00017    0.4875    -896.6163  0.3701 
   00018    0.4750    -903.3531  0.3682 
   00019    0.4950    -938.7255  0.3579 
   00020    0.4875    -920.6312  0.3586 
   00021    0.5400    -929.4640  0.3402 
   00022    0.5200    -928.1749  0.3296 
   00023    0.4850    -928.2323  0.3296 
   00024    0.5175    -958.8152  0.3257 
   00025    0.4700    -983.9995  0.3214 
   00026    0.4775    -964.8505  0.3287 
   00027    0.4800    -956.6810  0.3614 
   00028    0.4625    -950.6431  0.3331 
   00029    0.4825    -978.4924  0.3071 
   00030    0.4800    -957.9359  0.3198 
   00031    0.5200    -957.0977  0.3157 
   00032    0.4875    -952.8283  0.2986 
   00033    0.4825    -923.4082  0.3221 
   00034    0.4975    -923.2524  0.2849 
   00035    0.5175    -922.3871  0.2860 
   00036    0.5225    -918.4829  0.2885 
   00037    0.5250    -912.6257  0.2822 
   00038    0.5000    -921.0930  0.2760 
   00039    0.4375    -912.0750  0.2796 
   00040    0.5100    -908.8070  0.3085 
   00041    0.5300    -912.0380  0.3155 
   00042    0.4750    -921.4010  0.3131 
   00043    0.5125    -911.1127  0.3091 
   00044    0.5200    -936.1013  0.3303 
   00045    0.5075    -947.2209  0.3191 
   00046    0.4975    -943.1514  0.3202 
   00047    0.4725    -975.7382  0.3315 
   00048    0.4850    -931.1297  0.3772 
   00049    0.4950    -899.0085  0.3553 
   00050    0.5800    -951.4786  0.3341 
