#=====================================================
# File created:        Tue-29-Oct-2024-at-08-28-47AM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        0.383054
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -432.6547  0.2760 
   00001    0.6950    -601.9001  0.2952 
   00002    0.5950    -748.7132  0.3184 
   00003    0.5775    -801.7008  0.3264 
   00004    0.5450    -867.6970  0.3252 
   00005    0.4875    -896.6920  0.3419 
   00006    0.4775    -896.4400  0.3624 
   00007    0.4900    -910.6853  0.3906 
   00008    0.4400    -947.9778  0.3829 
   00009    0.4675    -961.6740  0.4013 
   00010    0.4750    -915.0861  0.3893 
   00011    0.4700    -931.3364  0.4213 
   00012    0.5075    -942.2614  0.4362 
   00013    0.4875    -934.0978  0.4079 
   00014    0.4525    -931.5496  0.4203 
   00015    0.4875    -923.5779  0.4533 
   00016    0.5075    -939.5172  0.4577 
   00017    0.4850    -947.8908  0.4907 
   00018    0.5025    -921.8002  0.4938 
   00019    0.5175    -907.2110  0.4761 
   00020    0.5325    -887.6766  0.4940 
   00021    0.4675    -920.5393  0.4765 
   00022    0.4850    -911.7720  0.4826 
   00023    0.4975    -936.8836  0.4737 
   00024    0.5125    -895.4535  0.4899 
   00025    0.4775    -922.4205  0.4966 
   00026    0.4500    -941.9153  0.4707 
   00027    0.5025    -934.0972  0.4879 
   00028    0.5275    -875.4640  0.4925 
   00029    0.5025    -845.1082  0.4608 
   00030    0.5375    -880.1350  0.4359 
   00031    0.4875    -922.9170  0.4721 
   00032    0.4750    -899.9732  0.4688 
   00033    0.5100    -910.2204  0.4545 
   00034    0.5275    -949.6479  0.4698 
   00035    0.4825    -918.7748  0.4654 
   00036    0.5350    -935.2560  0.4369 
   00037    0.4750    -964.5501  0.4308 
   00038    0.5000    -952.7341  0.4130 
   00039    0.4950    -953.6789  0.4219 
   00040    0.5025    -983.3672  0.4164 
   00041    0.5100    -946.4893  0.3784 
   00042    0.5525    -976.0341  0.3490 
   00043    0.4800    -957.1417  0.3573 
   00044    0.5175    -942.2532  0.3515 
   00045    0.4875    -926.1277  0.3371 
   00046    0.5150    -932.8108  0.3488 
   00047    0.5450    -913.3307  0.3569 
   00048    0.5375    -883.6057  0.3518 
   00049    0.4775    -885.5763  0.3566 
   00050    0.5050    -885.4449  0.3587 
