#=====================================================
# File created:        Tue-29-Oct-2024-at-08-26-03AM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        0.865662
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.6930  0.3088 
   00001    0.7175    -590.3221  0.3193 
   00002    0.6650    -657.3570  0.2865 
   00003    0.5875    -713.0591  0.2928 
   00004    0.5850    -763.4244  0.2722 
   00005    0.5850    -778.3742  0.3070 
   00006    0.5750    -802.8495  0.3204 
   00007    0.5325    -813.1022  0.3336 
   00008    0.5375    -855.5283  0.3108 
   00009    0.5750    -891.7571  0.3143 
   00010    0.5225    -837.2942  0.3337 
   00011    0.5475    -842.1615  0.3398 
   00012    0.4925    -860.7967  0.3292 
   00013    0.5250    -863.3252  0.3693 
   00014    0.5350    -888.7574  0.3703 
   00015    0.5450    -900.2485  0.3852 
   00016    0.5175    -898.7173  0.3654 
   00017    0.4875    -928.0061  0.3420 
   00018    0.5075    -920.0341  0.3399 
   00019    0.4650    -922.4950  0.3186 
   00020    0.4875    -895.1464  0.3276 
   00021    0.5025    -897.0005  0.3440 
   00022    0.5225    -944.4605  0.3777 
   00023    0.4725    -901.6279  0.4144 
   00024    0.5050    -892.6810  0.4049 
   00025    0.4725    -905.4827  0.3677 
   00026    0.5025    -921.9571  0.4101 
   00027    0.4800    -962.4927  0.4052 
   00028    0.4950    -959.4828  0.4001 
   00029    0.5175    -926.2339  0.3755 
   00030    0.5000    -912.1660  0.3860 
   00031    0.5075    -924.6273  0.3623 
   00032    0.5175    -944.8774  0.3730 
   00033    0.4875    -957.2626  0.3954 
   00034    0.4625    -921.8269  0.3877 
   00035    0.4900    -932.0690  0.3671 
   00036    0.5325    -934.8500  0.3802 
   00037    0.5025    -938.4806  0.4044 
   00038    0.4825    -916.3030  0.4024 
   00039    0.5125    -917.0710  0.3865 
   00040    0.5175    -917.5832  0.3623 
   00041    0.4875    -940.4407  0.3789 
   00042    0.5150    -927.4352  0.3878 
   00043    0.4950    -942.0015  0.3531 
   00044    0.4625    -974.9600  0.3401 
   00045    0.4350    -994.8130  0.3077 
   00046    0.4650    -989.0011  0.2986 
   00047    0.4800    -978.3073  0.2828 
   00048    0.4550    -937.5483  0.2964 
   00049    0.5200    -968.6427  0.3173 
   00050    0.4675    -977.6789  0.3093 
