#=====================================================
# File created:        Tue-29-Oct-2024-at-08-24-46AM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        0.685879
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -432.0735  0.2760 
   00001    0.6925    -639.1349  0.2934 
   00002    0.5925    -729.6014  0.2649 
   00003    0.5525    -762.6719  0.2809 
   00004    0.5725    -813.4036  0.2848 
   00005    0.5425    -850.4940  0.3183 
   00006    0.5075    -866.3586  0.3483 
   00007    0.5125    -929.5769  0.3528 
   00008    0.5225    -923.4844  0.3741 
   00009    0.5000    -904.5247  0.3758 
   00010    0.4850    -926.9186  0.3831 
   00011    0.5250    -881.3891  0.3446 
   00012    0.5375    -896.3911  0.3169 
   00013    0.5375    -932.7246  0.3282 
   00014    0.5050    -924.7355  0.3214 
   00015    0.4800    -946.5151  0.3147 
   00016    0.4925    -959.4059  0.3275 
   00017    0.5100    -912.8679  0.3337 
   00018    0.5025    -937.7837  0.3222 
   00019    0.4925    -942.0605  0.3157 
   00020    0.4850    -942.2447  0.3045 
   00021    0.5250    -936.0800  0.3328 
   00022    0.4725    -920.3249  0.3739 
   00023    0.5075    -944.7402  0.3764 
   00024    0.4700    -961.4319  0.3768 
   00025    0.4825    -937.8779  0.3575 
   00026    0.5525    -910.6438  0.3656 
   00027    0.4875    -915.0462  0.3651 
   00028    0.5325    -884.1531  0.3812 
   00029    0.5050    -900.6213  0.3816 
   00030    0.5375    -972.5071  0.4152 
   00031    0.4975    -941.0640  0.3998 
   00032    0.4675    -941.1938  0.3896 
   00033    0.4925    -953.6933  0.3744 
   00034    0.4475    -954.5592  0.3791 
   00035    0.4350    -974.2670  0.3454 
   00036    0.4750    -965.3931  0.3319 
   00037    0.4975    -974.2095  0.3354 
   00038    0.4575    -941.1126  0.3396 
   00039    0.5075    -966.0168  0.3558 
   00040    0.5300    -953.6678  0.3694 
   00041    0.4850    -927.2620  0.3404 
   00042    0.4675    -931.4759  0.3388 
   00043    0.4800    -924.7855  0.3428 
   00044    0.4950    -955.5504  0.3362 
   00045    0.5000    -978.7716  0.3456 
   00046    0.4750    -992.3623  0.3492 
   00047    0.4300    -993.5530  0.3548 
   00048    0.4800    -997.5956  0.3524 
   00049    0.4650   -1003.9557  0.3552 
   00050    0.4975    -941.4040  0.3275 
